,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH,n_panel
58,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,19.0
59,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,20.0
60,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,1.0
61,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,2.0
62,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,3.0
63,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,4.0
64,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,5.0
65,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,6.0
66,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,7.0
67,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,8.0
68,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,9.0
69,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,10.0
70,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,11.0
71,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,12.0
72,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,13.0
73,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,14.0
74,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,15.0
75,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,16.0
76,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,17.0
77,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,18.0
78,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,19.0
79,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1,20.0
80,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,1.0
81,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,2.0
82,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,3.0
83,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,4.0
84,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,5.0
85,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,6.0
86,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,7.0
87,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,8.0
88,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,9.0
89,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,10.0
90,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,11.0
91,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,12.0
92,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,13.0
93,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,14.0
94,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,15.0
95,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,16.0
96,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,17.0
97,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,18.0
98,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,19.0
99,21.0,9.0,2.0,0.0,-54.96989164037837,137.4049492019951,12.9,14.2,20.0
100,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,1.0
101,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,2.0
102,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,3.0
103,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,4.0
104,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,5.0
105,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,6.0
106,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,7.0
107,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,8.0
108,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,9.0
109,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,10.0
110,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,11.0
111,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,12.0
112,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,13.0
113,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,14.0
114,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,15.0
115,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,16.0
116,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,17.0
117,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,18.0
118,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,19.0
119,8.0,9.0,21.0,0.0,-34.91078057706084,256.57382141161827,9.0,31.4,20.0
120,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,1.0
121,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,2.0
122,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,3.0
123,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,4.0
124,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,5.0
125,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,6.0
126,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,7.0
127,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,8.0
128,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,9.0
129,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,10.0
130,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,11.0
131,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,12.0
132,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,13.0
133,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,14.0
134,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,15.0
135,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,16.0
136,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,17.0
137,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,18.0
138,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,19.0
139,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7,20.0
140,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,1.0
141,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,2.0
142,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,3.0
143,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,4.0
144,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,5.0
145,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,6.0
146,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,7.0
147,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,8.0
148,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,9.0
149,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,10.0
150,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,11.0
151,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,12.0
152,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,13.0
153,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,14.0
154,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,15.0
155,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,16.0
156,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,17.0
157,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,18.0
158,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,19.0
159,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8,20.0
160,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,1.0
161,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,2.0
162,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,3.0
163,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,4.0
164,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,5.0
165,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,6.0
166,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,7.0
167,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,8.0
168,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,9.0
169,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,10.0
170,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,11.0
171,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,12.0
172,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,13.0
173,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,14.0
174,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,15.0
175,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,16.0
176,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,17.0
177,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,18.0
178,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,19.0
179,11.0,1.0,16.0,658.0,45.26345513666239,266.78452227051565,37.5,11.1,20.0
180,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,1.0
181,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,2.0
182,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,3.0
183,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,4.0
184,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,5.0
185,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,6.0
186,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,7.0
187,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,8.0
188,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,9.0
189,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,10.0
190,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,11.0
191,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,12.0
192,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,13.0
193,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,14.0
194,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,15.0
195,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,16.0
196,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,17.0
197,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,18.0
198,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,19.0
199,2.0,2.0,7.0,917.0,10.366979352481891,103.88772260159071,20.1,13.7,20.0
200,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,1.0
201,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,2.0
202,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,3.0
203,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,4.0
204,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,5.0
205,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,6.0
206,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,7.0
207,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,8.0
208,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,9.0
209,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,10.0
210,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,11.0
211,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,12.0
212,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,13.0
213,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,14.0
214,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,15.0
215,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,16.0
216,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,17.0
217,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,18.0
218,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,19.0
219,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1,20.0
220,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,1.0
221,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,2.0
222,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,3.0
223,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,4.0
224,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,5.0
225,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,6.0
226,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,7.0
227,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,8.0
228,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,9.0
229,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,10.0
230,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,11.0
231,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,12.0
232,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,13.0
233,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,14.0
234,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,15.0
235,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,16.0
236,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,17.0
237,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,18.0
238,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,19.0
239,15.0,10.0,6.0,300.0,-0.7309304058554886,99.68085263258459,22.2,46.0,20.0
240,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,1.0
241,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,2.0
242,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,3.0
243,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,4.0
244,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,5.0
245,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,6.0
246,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,7.0
247,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,8.0
248,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,9.0
249,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,10.0
250,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,11.0
251,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,12.0
252,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,13.0
253,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,14.0
254,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,15.0
255,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,16.0
256,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,17.0
257,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,18.0
258,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,19.0
259,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8,20.0
260,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,1.0
261,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,2.0
262,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,3.0
263,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,4.0
264,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,5.0
265,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,6.0
266,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,7.0
267,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,8.0
268,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,9.0
269,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,10.0
270,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,11.0
271,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,12.0
272,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,13.0
273,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,14.0
274,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,15.0
275,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,16.0
276,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,17.0
277,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,18.0
278,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,19.0
279,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2,20.0
280,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,1.0
281,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,2.0
282,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,3.0
283,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,4.0
284,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,5.0
285,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,6.0
286,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,7.0
287,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,8.0
288,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,9.0
289,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,10.0
290,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,11.0
291,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,12.0
292,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,13.0
293,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,14.0
294,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,15.0
295,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,16.0
296,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,17.0
297,15.0,3.0,17.0,17.0,24.178500808266808,280.96161345506323,28.5,31.1,18.0
